Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev
RB,Alonzo Harris,3000,KC@GB 08:30PM ET,0,GB
WR,Bruce Ellington,3000,Final,2.5,SF
RB,Aaron Ripkowski,3000,KC@GB 08:30PM ET,0,GB
WR,Bradley Marquez,3000,Final,0,StL
WR,Rashad Greene,3000,Final,9.25,Jax
RB,Thomas Rawls,3000,Final,0.25,Sea
WR,Devin Smith,3000,Final,0,NYJ
RB,Raheem Mostert,3000,Final,0,Mia
RB,Josh Robinson,3000,Final,5,Ind
WR,De'Anthony Thomas,3000,KC@GB 08:30PM ET,2.55,KC
WR,Cody Latimer,3000,In Progress,0,Den
WR,Chandler Worthy,3000,Final,3.5,Hou
WR,Brittan Golden,3000,Final,0,Ari
RB,Tyler Varga,3000,Final,1.5,Ind
WR,Cordarrelle Patterson,3000,Final,0.55,Min
RB,Damien Williams,3000,Final,6.15,Mia
WR,Stefon Diggs,3000,Final,0,Min
RB,Lorenzo Taliaferro,3000,Final,13.6,Bal
WR,Seth Roberts,3000,Final,6.2,Oak
RB,Cameron Artis-Payne,3000,Final,0,Car
WR,Lucky Whitehead,3000,Final,0,Dal
WR,Jaelen Strong,3000,Final,0,Hou
WR,Adam Thielen,3000,Final,0,Min
RB,Khiry Robinson,3000,Final,9.35,NO
WR,Mario Alford,3000,Final,0,Cin
WR,Taylor Gabriel,3000,Final,2.35,Cle
RB,Charcandrick West,3000,KC@GB 08:30PM ET,0,KC
WR,Jeff Janis,3000,KC@GB 08:30PM ET,0,GB
DST,Falcons ,2900,Final,4.5,Atl
DST,Browns ,2900,Final,10.5,Cle
DST,Packers ,2900,KC@GB 08:30PM ET,5.5,GB
DST,Titans ,2900,Final,8,Ten
DST,Chiefs ,2900,KC@GB 08:30PM ET,10.5,KC
DST,Rams ,2900,Final,9,StL
DST,Dolphins ,2900,Final,7.5,Mia
DST,Ravens ,2900,Final,7.5,Bal
TE,Owen Daniels,2900,In Progress,3.7,Den
DST,Cowboys ,2800,Final,10.5,Dal
DST,Colts ,2800,Final,2,Ind
DST,Vikings ,2800,Final,7,Min
DST,Chargers ,2800,Final,4.5,SD
TE,Anthony Fasano,2800,Final,11.1,Ten
TE,Jacob Tamme,2800,Final,8.3,Atl
TE,David Johnson,2800,Final,0,SD
TE,Jared Cook,2800,Final,11.6,StL
DST,Lions ,2700,In Progress,8,Det
DST,Raiders ,2700,Final,2,Oak
